hexCode,vCode
B448DF1F3C,1FE311D009
F88E62AB35,05108FE86F
537A1BEF9B,C69F48D192
3A2EE64402,3FF46F370B
F0B2998A60,6A30141E63
E278C54A23,58F4A43F44
87051C5D56,B848C8EDD4
8207DE8A62,FB54D5586B
A7F355C0BA,9FD311DEAF
F21E97A01A,D9804B9027
37CA1D5F80,80AC0552D9
53E07B686B,5030E607AE
D7A2EF7A84,3900B76AA4
CF2E587B5B,9C65285D3B
BCF514881D,ADD3289E4F
4A8EAC423E,399E31EBD2
48777B789E,2A6C004AEA
09306074B8,1707F4441C
2F0BBCA29B,6BB57C3D1F
F68A56B660,D6611B4E4C
D8B4A9A4FA,145CB726D6
7B09EE81BA,EBC67C0747
7268A318B7,C91CF59993
8206196CD6,F52B97C7AD
7F3B6F1A67,F9D6801731
171BA9435E,27E0622093
708451671,6270216BB8
EDE378C2F2,386E54D889
339BC1138F,E46A674437
94C56464B7,8119CD5AB6
862B92F233,35965E76B4
A356EEEA1E,55C2F93310
6CE4AE516A,E2EFDCD84A
5C80D0D79A,9C79B654A4
C5585CC696,A60CD5FF82
66DC8EEF4C,55FF2723B9
3853A73CC1,47D29D75C7
D4CB247389,2EA479EC3F
5E9F444D8A,A3C02D15A5
8B06140076,6C5B117B5D
5D6CC40B7F,966F4D8365
7.92E+13,314BAF05A1
25CDB42E92,51A9BA9221
F2BB5F87C1,4A08BAB6D7
8272448F3C,1AC21DE09A
E585C298DB,F95009A248
6B0FF3F1A3,16792834C1
7D544F0F94,B795FACEFF
5DC8C1BEBF,264CFD5BF5
198FEFBCED,9BB4C5E46D
5EEC11E1E6,78C8242D8E
40B8B769E3,155FEBD048
2AE64FA99A,6ED7668DA3
37D9DADA52,18A638B556
101A2BBC5D,5DDA73E755
BBE8A06B2E,B03B17C6E3
F4E43CFB31,C69241A774
513383DF29,6ECE524BFB
C918EAD622,AEFEF5FC29
051B166609,49E5630880
C488EC09D6,F2B1CA7516
2B34997B28,96212CBFCC
4A947E3D82,67B7624FC6
45D7997B74,EEA98804CA
DAF68BB19B,6E850F2B9C
F20EF3E9F5,6D2FEA817B
251A70A141,3497885643
068179D701,B1733EAC3B
A9DC41F062,5A895A2914
7FC5E3AB58,8FC9F79020
4A26DB5580,E568320B74
BAFF3C060A,214C326717
8F8C8883BC,13DD7106A3
D00E1F7B12,681862C63C
F2EE79E885,DB621E74DC
D43F061397,A38278911A
35FA0D574C,0E60875191
F67D6BF929,B9DB95460C
A321557B54,766502AC0E
5262D45759,DF9A774A98
F355C41AE4,05ACF2CC68
2823023B2B,23F1A62A6B
478CC18AA4,C5EFA179A0
57A6D7B7C6,816F06761C
9A9D850088,D8936F8DF1
6B338E5120,AE001B96CF
18EE16855D,391CA56092
A646BFDAA0,3448D4DA63
7E32DA2CC9,6C5D68E275
4B233DD503,CDA2D844C5
F81D629F72,27E9D8728C
E96C1EF009,725D16FB54
C2EFFF4678,35B9B37DD2
E61CF1D4C1,2031380887
0A419CC9BB,48C6870DC2
28E1533963,3723B90EF2
692713BBE2,6E1299CE31
B12524A884,7229B9C46D
70C129223E,79920492BA
8F5DE5F447,4DA3B5D3C3
C4F3367617,2B34DA6CA9
F6184F9B2E,390CFCE059
366D63AF40,32105E379C
18FE575013,66928B4B98
7269846952,FDF924A348
677C6278AA,37B3405BAE
7C4209B3FF,9B1A3E03DF
7BE5137490,22F273C37B
6F000908A7,5FFC25222D
DE37BC402F,2B09B10DFC
0177B8E59A,EB263ED32C
BE9F0562DB,7B1D45FAD4
0D86B17BE1,BA59448AD0
107BE016DB,20F03ECAA6
ADE30DFDBE,A33B2BFA6C
AEA52086AA,384A5692E6
E0EDD6A141,5FE28D19FF
E5924E8DD9,AD62E7A58C
3B5DFCBE76,241190FE35
5C0D290D67,BED9058340
95AEE06191,373391CB48
14360F784A,66B65025B4
C7F0BC419E,F6A713F2D1
AA1A2A3774,D4AE301DB5
8D17D1B7A9,A35DBF483B
2825F19134,DBBE42107A
D949A73417,2472B585F5
67AE16C8EB,A8B17CB900
A81C7CA18A,F6DAEA25A8
1BEF93678B,99EC7F0D04
F69512591C,63EE81FA1E
2AB84256D8,E1566A7BED
73CEAECD20,3D6BB96EAD
69280A11F5,AB06549436
AA165673EC,A5232BA6F5
F30326794D,CB7903D382
869FACD626,FF0E6069DB
CBA0B60DC6,CF3AEF49B2
4EF12A5944,E6BA86E335
5B219225C4,4153484147
59E6526929,A983953EAC
4A3A285438,85D0F64088
DE46E3E4BB,C293498F6C
6609C25E6A,2921A48058
B5C0CAC112,03D62A907C
D97D8E057E,00C873B7BA
34BC84AE39,8085B336A3
4B9F774DE1,26C205B45E
73D8A8CA5C,A6A1276465
11D251CAD6,91212DA926
030819A7AB,441644435F
67F2BB9044,E4C7B5073F
D9A6AED0A9,FFE93B2AC8
2755DED19C,63ECB453C8
9D69FF9938,57824955EC
928176EEB3,F24D181C91
8D1F8B0834,7186EBD08B
1CEFC2BBC4,A44A3E7097
E3B63FAE7A,01A8FF0BFC
6DFF601EA9,C7ACB50B3C
BE3FD2E747,6B1406EAE5
3761E98B22,202627D240
8C4B82ACC2,BA9397BCE6
2548603D66,F2B7F912D4
FC1E7E2FFF,CBDDD5B28D
3046132A6E,DCEF8D0146
A00FE26DCA,DE5CD03AC8
C174F371D7,9EE58231E2
FF6E91DB30,5F75CD34A0
57468D19D7,7864979AC5
B4B48C7D2F,A191E205E8
30AA81B423,E1799F62F3
1DB6D2598A,78AE3FE757
1341491C2F,6182F45401
92D77DFD5A,75A488500B
65F0245B82,F3B875E0FB
D87336F862,03AE2148CD
79190E6854,35A9E6C8BF
B8FDF30A5D,11A33F74E1
0B41600CB7,C5FFE6661A
D4705B5E33,751C18DD24
5146F2F652,A5F114AEB6
8955515DE1,A5A6F70C8A
BC2CA37F16,16D9ECA17D
1D7D2AC391,EF8D137676
276B51FCFF,73AEA98B7E
BBB652D123,6E42229B53
A26B39E26E,DA81E6F4AF
5311BC435E,ACDF0B2071
C4F1B6D9EF,E613786ED8
905B5B45C3,0856B8CD34
C09084C84C,2D3B9AAD4B
3EFB25165F,E5C786C5BA
8D91156E1F,CFFC4715C3
C3C902393E,6C3287D152
0940FF073D,00D47CC519
F6E8893835,4613787DA5
355A557B63,E4E1C465FA
9D25E5AEAA,DC1E90DF5F
8D1413C194,3E4289696A
401FB936C1,3C3C9EE16E
053F8C223B,24C20BF9DD
7B630745A8,6B7A1F8F77
82C0A753E2,E759287F85
E1B15588D8,1A475E381D
BBCE4000D5,B883F20B64
314E8A00BF,9F6EFC2A39
B41D480DD0,F0A0A014D7
7EFEBEA897,16C524EBFD
AD35AE79D5,039BB8A828
C3E7109ECE,A958C74128
73747E0980,20882E40E5
E0E1D1F181,54CCB6211C
B1F3DF19B2,4BBDB44AF7
5848E62D81,EBFC2C3433
925869E1B1,45C6F87E17
19C56064E4,87E5101017
EB2F25F2F9,9A35918266
C968F9E1BF,E511A374F0
FE0EF5017A,00A50A4F7D
88211FD39C,FB27A1DF5F
97C9C6C072,3F6CDCB744
8C966E2A72,6271AE4A9E
67E3518BD3,32E4BA75D8
095F188DCF,6EAB42B579
763F56E74C,55C3ABAE0C
3D442751F2,DCFFE47E7A
90A7A4ABBC,D811564E7E
2B6966A0E9,329756FB22
4D8A4D8D06,5359E9C22D
38C214BB0B,3E793DEDDB
098F01935A,E5A5D34811
7B4AF60407,1CFADA6301
28266B1E68,67D4F4C607
D6D2F51DEE,751F07147F
7B02C699E2,210572ABE2
699789A8F8,F94426BA51
F025220ED8,2CB2C0F509
7BE0B5427D,5866554315
616D902123,23C34992B5
0B90DF99E1,4B56E56DC5
5EE488AB35,CD4030E96B
ED7D8B95FB,321D5F4183
E89C91D33C,8E0FD36B56
C92FAD1119,BF1CD21ED4
883858AB86,10FB35B094
447A50802F,DF1F013584
BC3CD23F96,E1CBDAD66C
66251BB617,E9F156D5AF
5E15F2BE6B,B2620D1EC0
55B356D0CA,D43182670B
C89587367B,A1E71A4B12
FB967EA13A,E786085F3A
4F8CDA582B,1D27A9EB28
6F6A5F6A0F,46AF102614
14CBAF1914,F0023414F8
DEB764B856,E04AC3CEDC
1E93D841D9,D867F3E5BC
1637F4257F,F974C2734B
25D8400F79,6C20D07360
4D494E3E5E,3CA92F2856
B964BDF281,7EF1050B13
881DD055F4,65FCF028B4
E7320C1C4A,77165835DB
F9A628AA15,CBE6CB9E0F
5B208CB36F,8A70CE6A1B
E9197F77D7,96DD075035
4C26EBF0D0,A633E39251
0EA404D54E,12DE74D31A
69AD138BAA,093FD03A42
E40617143D,AAB7512405
56D502D420,AFF3886A5A
F4641473D4,D7F62B47A6
7EE35BA2C7,268A82A07E
5CCDB670FF,EBC105335C
4B4D0B1ECE,8BFBEECB22
7CC6D9150B,62E471A59D
8A27011926,3E6FBFDE4C
70A6CB1772,8F77D80A0B
D9A3B34DEC,8D236DE98C
A9E742AAAB,8EEC93546E
1EA7016615,C7FD0A5201
EE14C09EC0,35BF97A4FB
C831336DBC,789E8B6A26
4EFB61ECD1,6E29B371CD
6DCC3A525D,CF4325933F
6D086D4DAA,3F3B0EFED2
2D23061DD3,1236D09CA3
FD4118560B,8BF86823BA
7F7CC1880E,AAF8245861
CCC266B33F,55F6E0BDCD
70470503D0,5A47DF084F
6A7D97533B,3E3AB3A185
BCCA7251D5,79AF8D35DC
FC4CDB1105,D581D5AB21
F43F4E324F,2142481B05
84CDE338B5,AB7C936F5A
B4A6F68A69,94AE7E0C90
B90DF1C064,49E756358C
81574919AC,CD28A40C83
C27D4D6935,A3C7450355
61D64EB8BB,178B41F46E
250A56769B,5BE32B05D8
7F81D01D90,7C51838C3A
F147D25E94,D545AD32D3
0CCB8C0CCC,9103ADF15F
51A8EE67DC,4D01A158E7
53C2576688,EBD3F93E1B
5E77F2D84B,C47403700A
9D67EEE677,490599FBCC
5EF555BE0F,54F31467C2
C77F7E4ACF,D8857C4E65
D2E21F464E,B46B6CA316
DE038DC097,2F0A6294A9
F90FDCDBC2,F1F5C70CBC
77A6FB7CD7,EB57C8F0D0
2530E3D11A,86ECC00201
46CF367E45,2D0F67A733
621B1642C9,660D0BAD6C
0667653CC7,0EACCBB6B3
F18EE667C2,D253CA0B72
85EEA8E5B5,CC295E01D4
87F12B5523,8573B480B6
C40411F2AE,46BBFCD254
14D644C1EA,85287613D3
170143556B,AD9C8C908F
A95A51E22F,0ACCB4ECA8
93D5A855C4,D82F0EDFC1
8591452F6E,328C98F68B
1125078DB0,DF6CCA083B
F9E354FEF6,6F75332133
428C1AF71D,5594AE2475
F5C75F67A4,B6EC0FB26A
29430E0F3F,9BEA00B693
39305BC512,22AA331D87
DB733D659E,11A545BFE0
BE07713E60,A5B2603731
E2072741D5,BDC55843EE
F8BEAA4FEB,5F242F1452
6486BF66EC,82D64F6D56
4A24F38B4A,BC4044C882
77B36DE7DF,A4EBB1905A
44EFE56E3E,4F2C163DC6
91547A5C98,C01D309D42
2922A1516A,F3F9D1A000
BC748A8580,D5ECFA5208
E63329441C,3AA545C53A
0083949C40,32073DC834
6C0A6EE7B7,F8BD23D5C3
8B2C59A28E,212E145CF3
7F802D8D7B,45CA96BF49
9A4AA07C6B,D34C36051A
4D9BBAF990,7D72F5089F
048A021ABF,0EF778692A
FFF8164154,3B80F8F379
B6913BBCF2,A4DCA79559
DB2A034ABA,E180133BCA
BD449F546C,48987F01E1
8961C57FC6,ECD8AB545A
DC73424D2D,B58EA273C1
D30EC40321,ABC53F3D12
81397A6BEB,6A416D996B
52E55EFCE7,47405F83A9
91806DFEBF,13A7F7CC2E
8E8034B61E,8C5B03D9CC
68C597A56D,E374933613
70C03EA5A7,8624BE587A
E91ED7A2DE,B004B773F4
9CCA7B381E,9B927ED786
403FC30ACD,CBDA3AA05E
772C6094DE,D8087AA839
AC6BB00DC3,7C0AD84F69
F8A57E05D0,172DEE0A0B
E5EC52632B,E9C865D927
87A2288B14,22E688847F
55D968E4A4,E43B0A490E
DE88C266C1,8.56E+06
5D074AB6F0,EF78543336
6AFAC3A283,3769E28823
915CD22F0D,EC1A89F904
C5835AFCCE,F7935165DD
60FB1EA3B9,1CADF6B5AC
25A8904CA8,D38572AF24
13CFC3B9FA,5284C185BE
FA78434470,0DE870FEDF
FD59A0B3D6,254781094B
5AF5E5190D,8DCAF5D27C
EA840997C5,A439C9210A
BE75ECF2EE,789AF8700F
95848E9D2C,66954ECB2E
4E806F9945,BAB7C96486
504B582270,5564F701EE
D83C5299CD,3EE4F49DEE
7A7510A389,B5ACF5B4BB
2061AD6ACC,BAEF0799F7
D237E67B2B,ABCF7DFD55
0F16A510C3,27B174D69E
924878B2E8,A09E60C1FD
27E47FFCC7,070E272296
36C105D7D7,34F42744CD
8B67410245,A553C1C860
EA2204EC83,B02345B281
A68BD98389,53C295B1C2
D8CCC68C7B,9F4E6A9D84
D4376398EE,A72D4C6B17
501DEF695A,33FC91D805
A22F5DE1A2,D521B6DE41
999BD59009,4406092C5E
2AD339381D,CF72C7CD33
31FAB68484,3D375D6B63
3C717B464D,C0AE8743AB
376D76D0D1,82DB8C2366
7EB9D62102,0F9534983C
785328BD0C,8B9FF3E4ED
F6CC94694D,2CEB66B2D0
F4C0780C71,856D2A57A3
2A566AC864,80FCBC9A24
18826F2CAF,C9C714C810
F0190658CB,DB62BA3B89
6BF552C567,AF81831712
43DAA7A1A1,ACFF479FFD
672736A3D9,09A02F6184
452327DE07,77A58DFD6E
0B54242A98,88A117D2D5
3370232A60,9EBED7F7F8
5FA93BC5C2,881C45ADE8
1FBA574F52,B048D7E403
40EC82C676,0625CC406F
52BB9C5FCB,E043CD1BDF
8F503A19AE,9D74957A2F
A089007023,526BC57530
6FEA1A4721,4BFA9403CE
732B49CA9B,E8A45DAC87
FFE9982129,8F3D9A1269
919C66A3BB,BC12B8E6D1
5158B3E5FD,F8E39C0068
1D70B226A6,F67FC60E6C
3151F24343,168A1C0E06
2BB3CCD4E5,86C8B637E0
5DE41B7B59,C7B0DF737C
38ACFB5B0D,AB149AD355
2B491E1F9A,7CE30BD118
003D40DB5F,69BC2C403C
DE4C0E3EBF,622281996E
4E8F3797D5,C73FBB88CD
DE8AF1AB0B,CB869710DD
6D49D02661,06918CFA4E
DC0284E8DA,5BDF64864E
C9AB77BEA7,966F9B96F5
6FC5313C22,6EE3152D6A
EF5ED6EBC7,CAD07E86F0
5FB45D355C,3937642369
3CDB0E3D20,C16A59261B
90E304BC79,B111607237
6991F129B1,55E6BA011D
6A7633325E,04A16DC84A
E0BC0F4109,D119EC2EFA
F2EF981135,D5FCDD63D5
ACA7400421,E5A3FD9247
2AFCCC5846,E7AAE90D29
D33422019A,7EADEAE05E
61ADEF5E0B,DB4B3861D1
6381E3EEA6,BCC8F2C8B8
8CFFE1B072,128D1AD4C4
15FA379816,519EA96765
59E45BF058,069125D06E
54BF8E7FC5,47EA97E8B5
CFDEEA0EAF,CDB54E5D85
6A8024FE51,4DB59DD2B7
1EE35EAD91,135D934B18
A609F22DEE,F2B5D55BFE
A512126EF0,BB5A647BE2
2EF79B210D,681ABD2EC3
071811E3D5,0535D6DB30
95D46BB7FE,2C586A239F
DA8303187E,64BD5900EE
7B0BEF27E7,9D80D0E231
F8929C63CA,E36EB39BC4
63332AC12D,AF713E89AB
B4234ECAFD,DAC5B156E4
FA2E30E8E6,5788718D91
F1B972925F,C81F53D0F6
E6F7814261,BA0029A544
EF2CE1D42E,A9E1AE3E5D
19C0E7F0A2,0E72DF286D
224E176B35,F144352609
6118202D48,9121934888
6A5D5A50C8,6EE147D1D6
160B1299A6,5154A6F1A4
BFBC9ADA60,A43F2417DC
C86A6DC936,ACB2D71A87
61B373CBE4,C0CC0B0872
38354E0FC7,6FD7D395E8
F1285752B5,1A513DCC64
81AEDDE2E8,6ABF2AD630
D6AC91B50D,47F2F263E4
3A44DA597B,C4A6E2AB2F
50B451C79B,A82761FDDF
FBC152DE09,BF11209CA1
7B2D86C3F1,A390E8B10C
2B6E664960,6629DBAECF
